               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  37,             0.64647,             0.35074,              1.0292,             0.98562,             0.97462,              0.9897,             0.87253,             0.52701,             0.24055,              1.0273,            0.006436,            0.006436,            0.006436
                  38,             0.64319,             0.34772,              1.0294,              0.9856,             0.97331,              0.9912,             0.87056,             0.53323,             0.23999,              1.0318,            0.006337,            0.006337,            0.006337
                  39,             0.64165,             0.34665,              1.0248,             0.98719,             0.97472,             0.99057,             0.86648,              0.5326,             0.23809,               1.033,            0.006238,            0.006238,            0.006238
                  40,             0.63561,             0.34396,              1.0264,             0.98558,             0.97472,             0.99101,             0.87016,             0.52831,             0.23798,              1.0303,            0.006139,            0.006139,            0.006139
                  41,             0.63281,             0.34059,              1.0186,             0.98154,             0.97472,             0.99087,             0.86876,             0.52928,             0.23861,              1.0322,             0.00604,             0.00604,             0.00604
                  42,             0.62949,             0.33953,              1.0215,             0.98332,             0.97472,             0.99113,              0.8698,             0.52448,             0.23606,              1.0283,            0.005941,            0.005941,            0.005941
                  43,             0.63092,             0.33872,              1.0239,             0.98403,             0.97341,              0.9908,             0.87105,             0.52099,               0.236,              1.0258,            0.005842,            0.005842,            0.005842
                  44,             0.62734,             0.33674,              1.0186,               0.984,             0.97165,             0.99011,             0.87218,             0.51802,             0.23456,              1.0239,            0.005743,            0.005743,            0.005743
                  45,             0.62316,             0.33575,              1.0173,             0.98559,             0.97156,             0.99072,             0.87443,             0.51409,             0.23457,              1.0205,            0.005644,            0.005644,            0.005644
                  46,             0.62104,             0.33314,              1.0141,             0.98404,             0.97386,             0.99147,             0.87412,             0.51269,             0.23385,              1.0204,            0.005545,            0.005545,            0.005545
                  47,             0.61672,             0.32715,              1.0086,             0.98341,             0.97472,             0.99168,             0.87287,             0.51074,             0.23103,               1.019,            0.005446,            0.005446,            0.005446
                  48,             0.61482,             0.33055,              1.0108,             0.98404,             0.97422,             0.99162,             0.87549,             0.50913,             0.23045,              1.0171,            0.005347,            0.005347,            0.005347
                  49,             0.61291,             0.32608,              1.0082,             0.98405,              0.9748,             0.99168,             0.87354,             0.50965,              0.2317,              1.0179,            0.005248,            0.005248,            0.005248
                  50,             0.60729,             0.32423,               1.007,             0.98453,             0.97314,              0.9922,             0.87555,             0.50911,             0.23113,              1.0176,            0.005149,            0.005149,            0.005149
                  51,              0.6073,             0.32242,              1.0106,              0.9872,             0.97455,             0.99222,             0.87459,             0.50888,             0.22961,               1.018,             0.00505,             0.00505,             0.00505
                  52,               0.608,             0.32412,              1.0034,              0.9872,              0.9745,               0.992,             0.87508,             0.50804,             0.23035,              1.0173,            0.004951,            0.004951,            0.004951
                  53,             0.59719,             0.31847,              1.0037,              0.9872,              0.9745,             0.99251,             0.87498,             0.50713,              0.2298,              1.0159,            0.004852,            0.004852,            0.004852
                  54,             0.60102,             0.32046,              1.0054,             0.98562,             0.97484,             0.99262,             0.87702,             0.50671,             0.22837,              1.0157,            0.004753,            0.004753,            0.004753
                  55,             0.59677,             0.31448,              1.0035,             0.98472,             0.97314,             0.99282,             0.87602,             0.50625,             0.22764,              1.0154,            0.004654,            0.004654,            0.004654
                  56,             0.59229,              0.3142,             0.99929,             0.98497,             0.97314,             0.99293,             0.87669,             0.50584,             0.22792,              1.0147,            0.004555,            0.004555,            0.004555
                  57,              0.5914,             0.31415,             0.99744,             0.98503,             0.97314,             0.99293,              0.8779,             0.50521,             0.22727,              1.0145,            0.004456,            0.004456,            0.004456
                  58,             0.58649,             0.31394,             0.99809,             0.98489,             0.97314,             0.99288,             0.88077,             0.50457,             0.22466,              1.0143,            0.004357,            0.004357,            0.004357
                  59,             0.58798,             0.31228,             0.99801,             0.98514,             0.97314,             0.99288,             0.87891,             0.50349,             0.22421,              1.0132,            0.004258,            0.004258,            0.004258
                  60,               0.583,             0.30724,             0.99473,             0.98523,             0.97314,             0.99292,             0.87802,             0.50297,             0.22397,              1.0128,            0.004159,            0.004159,            0.004159
